Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Taylor Swift,Untouchable (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,68,312107,2021-04-09
Taylor Swift,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,67,267833,2021-04-09
Taylor Swift,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,65,237338,2021-04-09
Taylor Swift,Superstar (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,64,263865,2021-04-09
Taylor Swift,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,69,238443,2021-04-09
Taylor Swift,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,67,241822,2021-04-09
Taylor Swift,willow,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,75,214706,2021-01-07
Taylor Swift,champagne problems,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,75,244000,2021-01-07
Taylor Swift,gold rush,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,72,185320,2021-01-07
Taylor Swift,‘tis the damn season,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,73,229840,2021-01-07
Taylor Swift,tolerate it,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,74,245440,2021-01-07
Taylor Swift,"no body, no crime (feat. HAIM)",evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,72,215626,2021-01-07
Taylor Swift,happiness,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,71,315146,2021-01-07
Taylor Swift,dorothea,evermore (deluxe version),https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,70,225880,2021-01-07
